Date,Time,Open,High,Low,Close,Volume
2023-5-5,20:0,76302.0,76418.0,76302.0,76399.0,5602.0
2023-5-5,19:0,76467.0,76549.0,76209.0,76301.0,16957.0
2023-5-5,18:0,76569.0,76590.0,76360.0,76450.0,46601.0
2023-5-5,17:0,76400.0,76654.0,76397.0,76570.0,63857.0
2023-5-5,16:0,76148.0,76473.0,76078.0,76400.0,63669.0
2023-5-5,15:0,76219.0,76476.0,76116.0,76148.0,132457.0
2023-5-5,14:0,76056.0,76236.0,75936.0,76222.0,134843.0
2023-5-5,13:0,75987.0,76130.0,75883.0,76056.0,141973.0
2023-5-5,12:0,75627.0,76013.0,75610.0,75987.0,184284.0
2023-5-5,11:0,75795.0,75795.0,75424.0,75626.0,271218.0
2023-5-5,10:0,76060.0,76326.0,75632.0,75793.0,385396.0
2023-5-5,9:0,77086.0,77086.0,76056.0,76056.0,129618.0
2023-5-4,23:0,77022.0,77136.0,77009.0,77136.0,10772.0
2023-5-4,22:0,76984.0,77125.0,76979.0,77022.0,5178.0
2023-5-4,21:0,76809.0,77235.0,76809.0,76984.0,41982.0
2023-5-4,20:0,76776.0,76830.0,76649.0,76809.0,7857.0
2023-5-4,19:0,76773.0,76855.0,76750.0,76776.0,11729.0
2023-5-4,18:0,76840.0,76945.0,76769.0,76773.0,46175.0
2023-5-4,17:0,76724.0,76920.0,76552.0,76841.0,83392.0
2023-5-4,16:0,76783.0,76875.0,76406.0,76723.0,207035.0
2023-5-4,15:0,77021.0,77080.0,76782.0,76783.0,95799.0
2023-5-4,14:0,76954.0,77140.0,76865.0,77022.0,102216.0
2023-5-4,13:0,77087.0,77168.0,76908.0,76960.0,159222.0
2023-5-4,12:0,77291.0,77384.0,76977.0,77084.0,205320.0
2023-5-4,11:0,77785.0,77789.0,77215.0,77295.0,268885.0
2023-5-4,10:0,78000.0,78276.0,77720.0,77785.0,154158.0
2023-5-4,9:0,78239.0,78280.0,77987.0,78007.0,38004.0
2023-5-3,23:0,78201.0,78240.0,78092.0,78220.0,6620.0
2023-5-3,22:0,78098.0,78264.0,78091.0,78200.0,10628.0
2023-5-3,21:0,78204.0,78208.0,77951.0,78099.0,13563.0
2023-5-3,20:0,78119.0,78368.0,78112.0,78202.0,17113.0
2023-5-3,19:0,78011.0,78135.0,77800.0,78118.0,25899.0
2023-5-3,18:0,78358.0,78373.0,78010.0,78025.0,62954.0
2023-5-3,17:0,78469.0,78503.0,78351.0,78358.0,42023.0
2023-5-3,16:0,78261.0,78520.0,78212.0,78468.0,67130.0
2023-5-3,15:0,78182.0,78350.0,78000.0,78261.0,78001.0
2023-5-3,14:0,78237.0,78270.0,78054.0,78181.0,47976.0
2023-5-3,13:0,78151.0,78316.0,78040.0,78239.0,59790.0
2023-5-3,12:0,77919.0,78157.0,77830.0,78150.0,78127.0
2023-5-3,11:0,78129.0,78164.0,77641.0,77916.0,216407.0
2023-5-3,10:0,78463.0,78587.0,78102.0,78129.0,179176.0
2023-5-3,9:0,78586.0,78848.0,78421.0,78475.0,52861.0
2023-5-2,23:0,78604.0,78608.0,78551.0,78586.0,3776.0
2023-5-2,22:0,78684.0,78755.0,78595.0,78604.0,5015.0
2023-5-2,21:0,78600.0,78727.0,78558.0,78689.0,4912.0
